Localidad,Latitud,Longitud,Tipo_place,population,osm_type,osm_id,name_normalized
Padre C. Díaz,-33.7307375,-70.7798615,neighbourhood,,node,8663100798,padre c. diaz
Padre C. González,-34.9733531,-71.7985967,neighbourhood,,node,7327273917,padre c. gonzalez
Padre Damián Heredia Stecher,-30.5968401,-71.2008092,neighbourhood,,node,9530965957,padre damian heredia stecher
Padre Hurtado,-33.5673051,-70.8020467,suburb,55561.0,node,214195262,padre hurtado
Padre José Fernández Pérez,-41.4633023,-72.9618407,suburb,,node,3303430318,padre jose fernandez perez
Padre Las Casas,-38.7674245,-72.5956312,town,42020.0,node,4041076394,padre las casas
Padre Mateo,-33.8219682,-70.7407576,neighbourhood,,node,8737241991,padre mateo
Padre Tadeo,-40.3438825,-72.9432535,neighbourhood,,node,11007861975,padre tadeo
Padres Trapenses,-34.9217489,-71.3137731,neighbourhood,,node,1430720276,padres trapenses
Paga,-19.1,-69.4,locality,,node,214184071,paga
Pago de Gómez,-18.5025637,-70.2461529,hamlet,878.0,node,5755007625,pago de gomez
Pahuil,-35.6164302,-72.5708184,village,584.0,node,214216140,pahuil
Pahuta,-17.8692946,-69.5814275,hamlet,20.0,node,214195943,pahuta
Paicaví,-37.9312343,-73.4333897,hamlet,146.0,node,6395457178,paicavi
Paico,-39.5905845,-73.1079375,hamlet,45.0,node,6133947521,paico
Paico Alto,-33.6591788,-71.0345775,hamlet,17.0,node,6148914639,paico alto
Paico Alto Norte,-33.6496811,-71.0498071,hamlet,14.0,node,6148914640,paico alto norte
Paico Alto Oeste,-33.6617239,-71.0506064,hamlet,62.0,node,6148914643,paico alto oeste
Paidahue Oriente,-33.4473964,-70.5151881,neighbourhood,,node,4408293933,paidahue oriente
Paidahuén,-32.8169595,-70.5791246,hamlet,203.0,node,214184309,paidahuen
Paihuano,-30.0290417,-70.5164414,village,988.0,node,214212548,paihuano
Paihuén,-36.0572927,-71.6830256,hamlet,420.0,node,5907654486,paihuen
Pailacoyán,-38.7611069,-73.1808838,hamlet,88.0,node,5924949859,pailacoyan
Pailacoyán Los Pinos,-38.787208,-73.1969905,hamlet,50.0,node,6211308753,pailacoyan los pinos
Pailahueque,-38.1321075,-72.3214584,village,1311.0,node,214196783,pailahueque
Pailapifil,-39.6198944,-73.1215185,hamlet,32.0,node,6001873966,pailapifil
Pailca,-19.6099579,-69.4444921,hamlet,,node,2983227452,pailca
Paildad,-42.8534441,-73.6238915,hamlet,84.0,node,214211714,paildad
Paile Paile,-38.8684949,-71.6583306,hamlet,22.0,node,6124543848,paile paile
Pailimo,-34.2813595,-71.805219,hamlet,45.0,node,5932971287,pailimo
Pailimo Norte,-34.2681318,-71.782372,hamlet,136.0,node,5932971288,pailimo norte
Pailimo Oriente,-34.2926486,-71.7873369,hamlet,324.0,node,2332470664,pailimo oriente
Paillaco,-40.0706633,-72.8726695,town,11296.0,node,214234287,paillaco
Paillacol,-40.4404966,-73.4196139,hamlet,15.0,node,13038852083,paillacol
Paillahue,-38.4086919,-72.7392984,hamlet,279.0,node,6208354703,paillahue
Paillahuinte,-39.8165053,-72.0772594,hamlet,72.0,node,5140343029,paillahuinte
Paillanao,-38.7960297,-72.5960093,hamlet,124.0,node,6101888538,paillanao
Paillihue,-37.4866769,-72.3396815,suburb,,node,1717404693,paillihue
Paillihueico,-37.4925664,-72.3776829,hamlet,49.0,node,5919437892,paillihueico
Paimún,-39.7296831,-71.7668581,hamlet,,node,5140343046,paimun
Paine,-33.8101102,-70.7390236,town,31317.0,node,214198613,paine
Paine Oriente,-33.8057891,-70.7456312,hamlet,126.0,node,5729607978,paine oriente
Paine Poniente,-33.7991205,-70.7542063,hamlet,313.0,node,5729607979,paine poniente
Paipote,-27.4147265,-70.2749806,suburb,,node,214181091,paipote
Pajal,-37.3571104,-71.7246509,hamlet,50.0,node,6466201861,pajal
Pajaritos,-33.5938761,-70.8677789,hamlet,280.0,node,5997051227,pajaritos
Pajaritos Blancos,-31.0419704,-71.142531,hamlet,31.0,node,5955738026,pajaritos blancos
Pájaros Blancos,-38.3937709,-73.921439,hamlet,25.0,node,5907557394,pajaros blancos
Pajonal,-41.6462657,-73.605654,hamlet,37.0,node,4161876535,pajonal
Pajonales,-22.9478444,-67.814916,locality,,node,3011249885,pajonales
Pakeray,-33.6612996,-70.7121814,hamlet,21.0,node,5733704404,pakeray
Pakeray Norte,-33.6581206,-70.7006049,hamlet,266.0,node,5733704405,pakeray norte
Pakeray Sur,-33.6754257,-70.7227063,hamlet,241.0,node,5733704396,pakeray sur
Palafitos Pedro Montt 1er Sector,-42.4724599,-73.7632759,locality,,node,9723069278,palafitos pedro montt 1er sector
Palca,-18.8281946,-69.6682656,hamlet,34.0,node,214228640,palca
Palco,-36.9790723,-73.0159843,hamlet,63.0,node,6040608984,palco
Palco Chico,-36.953684,-73.0501941,hamlet,,node,10681450916,palco chico
